"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Herbaceous Veg.","Pasture Change",0.413533834586466,0.01,0.14,0.25,0.46,3.61
"Pasture Change","Cropland Change",0.860608974358974,0.01,0.13,0.24,0.6225,35.22
"Cropland Change","Cropland",0.56484496124031,0.02,0.12,0.235,0.59,9.14
"Global Envir. Strat.","Cropland Change",0.503150684931507,0.01,0.1,0.23,0.5125,12.14
"Pasture Change","Population",0.442649572649573,0.02,0.1125,0.23,0.42,7.68
"Urban/Built-up","Pasture Change",0.299154929577465,0.01,0.0925,0.225,0.3675,1.77
"Deciduous Broadleaf
Trees","Pasture Change",0.546298701298701,0.02,0.1,0.22,0.5275,11.51
"Mixed/Other Trees","Cropland Change",0.448787878787879,0.02,0.11,0.22,0.46,4.52
"Global Envir. Strat.","Cultivated/Managed
Veg.",0.650862068965517,0.01,0.09,0.22,0.6125,18.02
"Global Envir. Strat.","Pasture Change",0.732350119904077,0.01,0.1,0.22,0.52,31.79
"Mammal Biodiversity","Pasture Change",0.550971786833856,0.01,0.1,0.22,0.5,12.16
"Pasture Change","Pasture",0.536071428571429,0.02,0.12,0.22,0.54,11.94
"Mixed/Other Trees","Pasture Change",0.59375,0.02,0.09,0.215,0.6225,12.16
"Regularly Flooded Veg.","Cultivated/Managed
Veg.",0.273846153846154,0.02,0.0625,0.21,0.4125,0.83
"Deciduous Broadleaf
Trees","Cropland Change",0.371063829787234,0.02,0.09,0.21,0.37,4.75
"Herbaceous Veg.","Mixed/Other Trees",0.283333333333333,0.06,0.125,0.21,0.39,0.77
"Livestock Mammal
Headcount","Pasture Change",0.371853658536585,0.01,0.08,0.21,0.38,5.58
"Mammal Biodiversity","Cropland",0.411081081081081,0.01,0.09,0.21,0.39,4.48
"Mammal Biodiversity","Cropland Change",0.471927272727273,0.02,0.095,0.21,0.435,10.8
"Pasture Change","Cropland",0.577222222222222,0.01,0.11,0.21,0.48,5.38
"Herbaceous Veg.","Pasture",0.379416666666667,0.02,0.09,0.2,0.445,2.51
"Global Envir. Strat.","Cropland",0.518082191780822,0.01,0.09,0.2,0.435,10.71
"Mammal Biodiversity","Global Envir. Strat.",0.499923954372624,0.01,0.1,0.2,0.52,20.05
"Cultivated/Managed
Veg.","Cropland Change",0.488722222222222,0.02,0.11,0.195,0.445,5.81
"Cropland Change","Population",0.408248175182482,0.02,0.09,0.19,0.4,4.28
"Evergreen Broadleaf
Trees","Pasture",0.39222972972973,0.01,0.09,0.19,0.475,6.93
"Herbaceous Veg.","Deciduous Broadleaf
Trees",0.198823529411765,0.05,0.11,0.19,0.25,0.43
"Cultivated/Managed
Veg.","Pasture Change",0.364051282051282,0.01,0.09,0.19,0.355,9.63
"Urban/Built-up","Evergreen/Deciduous
Needleleaf Trees",0.222432432432432,0.02,0.09,0.19,0.27,1.02
"Urban/Built-up","Deciduous Broadleaf
Trees",0.292307692307692,0.03,0.08,0.19,0.32,1.46
"Urban/Built-up","Mixed/Other Trees",0.274857142857143,0.01,0.09,0.19,0.24,1.9
"Global Envir. Strat.","Deciduous Broadleaf
Trees",0.396540880503145,0.01,0.095,0.19,0.46,3.27
"Global Envir. Strat.","Pasture",0.43222602739726,0.01,0.09,0.19,0.42,6.54
"Mammal Biodiversity","Mixed/Other Trees",0.389230769230769,0.01,0.08,0.19,0.46,3.68
"Evergreen Broadleaf
Trees","Pasture Change",0.544285714285714,0.02,0.1,0.185,0.45,24.09
"Population Change","Pasture Change",0.370743243243243,0.02,0.08,0.185,0.375,2.4
"Continent","Pasture Change",0.45254295532646,0.01,0.08,0.18,0.42,8.14
"Cropland Change","Pasture",0.42212389380531,0.01,0.08,0.18,0.41,8.44
"Shrubs","Cropland Change",0.251506849315069,0.02,0.08,0.18,0.32,1.32
"Cultivated/Managed
Veg.","Cropland",0.359363636363636,0.01,0.1,0.18,0.425,4.04
"Regularly Flooded Veg.","Cropland Change",0.239016393442623,0.02,0.09,0.18,0.33,0.94
"Global Envir. Strat.","Population",0.451148648648649,0.02,0.09,0.18,0.38,14.88
"Mammal Biodiversity","Pasture",0.442085561497326,0.01,0.08,0.18,0.435,5.65
"Deciduous Broadleaf
Trees","Population Change",0.275,0.05,0.0925,0.175,0.3475,1.27
"Continent","Mammal Biodiversity",0.495194805194805,0.01,0.08,0.17,0.41,9.95
"Evergreen/Deciduous
Needleleaf Trees","Cropland Change",0.30032,0.02,0.08,0.17,0.4,2.92
"Mixed/Other Trees","Deciduous Broadleaf
Trees",0.344516129032258,0.01,0.105,0.17,0.43,1.38
"Global Envir. Strat.","Population Change",0.382542372881356,0.01,0.09,0.17,0.38,6.61
"Livestock Mammal
Headcount","Global Envir. Strat.",0.379543378995434,0.01,0.07,0.17,0.42,4.85
"Mammal Biodiversity","Shrubs",0.492093023255814,0.01,0.09,0.17,0.47,5.79
"Poultry","Cropland Change",0.234074074074074,0.02,0.09,0.17,0.28,1.74
"Herbaceous Veg.","Cropland",0.309827586206897,0.02,0.1,0.165,0.25,2.77
"Population Change","Cropland",0.269074074074074,0.03,0.09,0.165,0.2925,1.6
"Population Change","Cropland Change",0.329722222222222,0.01,0.0975,0.165,0.36,5.05
"Evergreen/Deciduous
Needleleaf Trees","Pasture Change",0.420335195530726,0.02,0.09,0.16,0.365,7.67
"Mixed/Other Trees","Evergreen/Deciduous
Needleleaf Trees",0.253652173913043,0.01,0.09,0.16,0.27,2.53
"Shrubs","Pasture Change",0.35218487394958,0.02,0.07,0.16,0.34,5.14
