"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Pasture Change","Cropland Change",0.944356435643564,0.01,0.15,0.31,0.81,37.54
"Global Envir. Strat.","Pasture Change",0.783958333333333,0.01,0.12,0.28,0.6925,27.66
"Livestock Mammal
Headcount","Mixed/Other Trees",0.386486486486486,0.01,0.11,0.28,0.39,2.67
"Cropland Change","Cropland",0.877768595041322,0.01,0.12,0.27,0.7,27.39
"Shrubs","Mixed/Other Trees",0.299545454545455,0.04,0.1125,0.265,0.3275,1.1
"Pasture Change","Cropland",0.587163461538462,0.03,0.12,0.26,0.585,12.59
"Mixed/Other Trees","Cropland Change",0.527581699346405,0.01,0.11,0.25,0.57,15.4
"Mammal Biodiversity","Pasture Change",0.696262626262626,0.01,0.1,0.25,0.67,9.81
"Urban/Built-up","Pasture Change",0.413365384615385,0.01,0.1,0.245,0.555,3.14
"Mixed/Other Trees","Pasture Change",0.4992,0.03,0.1225,0.24,0.4975,5.05
"Global Envir. Strat.","Deciduous Broadleaf
Trees",0.646666666666667,0.01,0.09,0.24,0.52,27.1
"Global Envir. Strat.","Cropland Change",0.507147651006711,0.01,0.1,0.23,0.51,7.22
"Global Envir. Strat.","Pasture",0.553020134228188,0.01,0.1025,0.23,0.51,37.15
"Global Envir. Strat.","Population",0.456551724137931,0.01,0.1,0.23,0.4975,6.01
"Mammal Biodiversity","Cropland Change",0.585175097276265,0.01,0.11,0.23,0.54,12.75
"Deciduous Broadleaf
Trees","Cropland Change",0.466714285714286,0.01,0.0925,0.22,0.4725,7.57
"Herbaceous Veg.","Deciduous Broadleaf
Trees",0.302222222222222,0.04,0.1375,0.22,0.34,0.98
"Cultivated/Managed
Veg.","Mixed/Other Trees",0.451836734693878,0.02,0.13,0.22,0.52,2.71
"Mammal Biodiversity","Population Change",0.445172413793103,0.01,0.08,0.22,0.54,4.93
"Pasture Change","Pasture",0.474681818181818,0.02,0.11,0.22,0.49,8.49
"Evergreen Broadleaf
Trees","Pasture Change",0.416218487394958,0.01,0.09,0.21,0.47,4.4
"Cultivated/Managed
Veg.","Cropland",0.428036529680365,0.01,0.1,0.21,0.45,6.63
"Cultivated/Managed
Veg.","Cropland Change",0.525028901734104,0.02,0.1,0.21,0.42,9.1
"Urban/Built-up","Cropland Change",0.546049382716049,0.01,0.09,0.21,0.38,7.72
"Mammal Biodiversity","Population",0.480394736842105,0.01,0.09,0.21,0.4125,11.44
"Mammal Biodiversity","Evergreen Broadleaf
Trees",0.343425925925926,0.01,0.08,0.205,0.4325,2.69
"Evergreen Broadleaf
Trees","Pasture",0.347093425605536,0.01,0.1,0.2,0.38,5.33
"Deciduous Broadleaf
Trees","Pasture",0.466478873239437,0.01,0.105,0.2,0.39,8.3
"Herbaceous Veg.","Cropland",0.323166666666667,0.02,0.09,0.2,0.3625,2.73
"Cultivated/Managed
Veg.","Pasture Change",0.418761904761905,0.01,0.1,0.2,0.435,4.32
"Regularly Flooded Veg.","Pasture Change",0.391340206185567,0.03,0.1,0.2,0.39,3.99
"Mammal Biodiversity","Mixed/Other Trees",0.366936936936937,0.01,0.09,0.2,0.36,3.14
"Mammal Biodiversity","Global Envir. Strat.",0.510814332247557,0.01,0.09,0.2,0.46,8.97
"Population Change","Pasture Change",0.340551724137931,0.02,0.12,0.2,0.38,4.58
"Livestock Mammal
Headcount","Pasture Change",0.461739130434783,0.01,0.09,0.195,0.535,4.33
"Cropland Change","Population",0.392049689440994,0.01,0.09,0.19,0.4,4.68
"Evergreen/Deciduous
Needleleaf Trees","Cropland Change",0.394388489208633,0.02,0.095,0.19,0.39,5.38
"Evergreen Broadleaf
Trees","Cropland Change",0.425909090909091,0.01,0.1,0.19,0.4425,7.73
"Herbaceous Veg.","Pasture",0.415765765765766,0.01,0.09,0.19,0.5,5.98
"Herbaceous Veg.","Pasture Change",0.375390625,0.02,0.1,0.19,0.425,3.22
"Urban/Built-up","Herbaceous Veg.",0.198235294117647,0.02,0.12,0.19,0.27,0.47
"Urban/Built-up","Population",0.376296296296296,0.01,0.07,0.19,0.375,3.1
"Global Envir. Strat.","Population Change",0.374304932735426,0.01,0.09,0.19,0.41,5.19
"Mammal Biodiversity","Shrubs",0.362344827586207,0.01,0.09,0.19,0.39,2.56
"Mammal Biodiversity","Pasture",0.386291079812207,0.01,0.09,0.19,0.46,5.09
"Pasture","Cropland",0.304133333333333,0.04,0.105,0.19,0.375,1.91
"Population Change","Pasture",0.415324675324675,0.02,0.1,0.19,0.44,4.41
"Population Change","Population",0.267916666666667,0.01,0.07,0.19,0.4,2.06
"Global Envir. Strat.","Cultivated/Managed
Veg.",0.506926605504587,0.01,0.0825,0.185,0.4,12.71
"Cropland Change","Pasture",0.366666666666667,0.02,0.1,0.18,0.41,2.71
"Evergreen/Deciduous
Needleleaf Trees","Pasture Change",0.371780104712042,0.02,0.08,0.18,0.41,3.24
"Deciduous Broadleaf
Trees","Evergreen Broadleaf
Trees",0.28,0.01,0.08,0.18,0.3075,2.15
"Deciduous Broadleaf
Trees","Pasture Change",0.387567567567568,0.02,0.09,0.18,0.39,4.36
"Mixed/Other Trees","Evergreen/Deciduous
Needleleaf Trees",0.389646017699115,0.01,0.08,0.18,0.41,4.05
"Herbaceous Veg.","Cropland Change",0.358301886792453,0.01,0.1,0.18,0.41,2.28
"Cultivated/Managed
Veg.","Herbaceous Veg.",0.253181818181818,0.01,0.0975,0.18,0.34,0.93
"Regularly Flooded Veg.","Cropland Change",0.313650793650794,0.02,0.09,0.18,0.365,1.5
"Global Envir. Strat.","Cropland",0.548755364806867,0.01,0.07,0.18,0.4,7.68
"Global Envir. Strat.","Regularly Flooded Veg.",0.299241379310345,0.01,0.06,0.18,0.31,2.66
"Livestock Mammal
Headcount","Cropland",0.366530612244898,0.01,0.08,0.18,0.4075,3.37
"Pasture Change","Population",0.380380952380952,0.02,0.1025,0.18,0.4275,10.4
"Poultry","Mammal Biodiversity",0.531652173913044,0.01,0.08,0.18,0.395,15.06
"Population Change","Cropland Change",0.329224137931034,0.02,0.09,0.175,0.3425,3.76
"Evergreen/Deciduous
Needleleaf Trees","Cropland",0.420492957746479,0.01,0.1,0.17,0.3675,6.66
"Mixed/Other Trees","Deciduous Broadleaf
Trees",0.263191489361702,0.01,0.075,0.17,0.33,1.34
"Cultivated/Managed
Veg.","Deciduous Broadleaf
Trees",0.293214285714286,0.01,0.0775,0.17,0.3575,3.3
"Global Envir. Strat.","Evergreen/Deciduous
Needleleaf Trees",0.297938144329897,0.02,0.07,0.17,0.27,2.67
"Global Envir. Strat.","Mixed/Other Trees",0.351798561151079,0.02,0.085,0.17,0.365,3.71
"Global Envir. Strat.","Shrubs",0.342527472527473,0.02,0.06,0.17,0.345,5.61
"Livestock Mammal
Headcount","Global Envir. Strat.",0.355491071428571,0,0.08,0.17,0.3625,4.26
"Mammal Biodiversity","Cropland",0.515502645502645,0.01,0.07,0.17,0.51,9.14
"Mammal Biodiversity","Evergreen/Deciduous
Needleleaf Trees",0.291319444444444,0.01,0.07,0.17,0.3225,2.73
"Mammal Biodiversity","Cultivated/Managed
Veg.",0.328199233716475,0.01,0.08,0.17,0.38,6.58
"Poultry","Pasture Change",0.340076335877863,0.01,0.08,0.17,0.39,4.58
"Regularly Flooded Veg.","Pasture",0.295689655172414,0.02,0.1,0.165,0.2675,3.82
"Poultry","Regularly Flooded Veg.",0.237777777777778,0.01,0.0525,0.165,0.31,1.11
"Shrubs","Deciduous Broadleaf
Trees",0.259117647058824,0.03,0.1,0.165,0.285,1.58
"Evergreen Broadleaf
Trees","Population",0.231116751269036,0.02,0.07,0.16,0.3,2.33
"Deciduous Broadleaf
Trees","Population",0.251904761904762,0.02,0.08,0.16,0.275,1.49
"Shrubs","Pasture Change",0.262747252747253,0.02,0.08,0.16,0.32,2.03
"Livestock Mammal
Headcount","Cropland Change",0.356444444444444,0.01,0.065,0.16,0.38,4.42
"Livestock Mammal
Headcount","Mammal Biodiversity",0.25972602739726,0,0.06,0.16,0.35,1.81
"Mammal Biodiversity","Herbaceous Veg.",0.297252747252747,0.01,0.08,0.16,0.395,2.7
"Population","Cropland",0.235154639175258,0.02,0.08,0.16,0.3,1.43
"Poultry","Herbaceous Veg.",0.207368421052632,0.01,0.095,0.16,0.29,0.56
"Poultry","Cultivated/Managed
Veg.",0.225918367346939,0.01,0.08,0.16,0.2775,1.66
