"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Regularly Flooded Veg.","Herbaceous Veg.",0.436,0.25,0.41,0.44,0.51,0.57
"Urban/Built-up","Pasture Change",0.93657355679702,0.02,0.2,0.42,1.01,12.41
"Cultivated/Managed
Veg.","Cropland Change",0.897914893617021,0.01,0.19,0.41,0.885,13.45
"Urban/Built-up","Deciduous Broadleaf
Trees",0.84390977443609,0.02,0.16,0.39,0.94,9.78
"Regularly Flooded Veg.","Cropland",0.311428571428571,0.03,0.27,0.38,0.4,0.43
"Urban/Built-up","Cultivated/Managed
Veg.",0.786481481481481,0.02,0.17,0.37,0.84,7.2
"Pasture Change","Cropland Change",0.803333333333333,0.02,0.18,0.36,0.6975,20.22
"Shrubs","Pasture Change",0.620072463768116,0.04,0.1525,0.35,0.585,7.21
"Herbaceous Veg.","Pasture Change",0.580839694656489,0.03,0.185,0.35,0.77,2.6
"Mammal Biodiversity","Cultivated/Managed
Veg.",0.5776,0.01,0.15,0.35,0.7,9.7
"Mammal Biodiversity","Evergreen Broadleaf
Trees",0.73281914893617,0.02,0.17,0.345,0.8025,10.48
"Evergreen/Deciduous
Needleleaf Trees","Cropland Change",0.4090625,0.04,0.165,0.34,0.4475,2.25
"Cultivated/Managed
Veg.","Mixed/Other Trees",0.744715447154472,0.02,0.16,0.34,0.87,8.49
"Livestock Mammal
Headcount","Population Change",0.423827160493827,0.01,0.15,0.34,0.55,1.96
"Mammal Biodiversity","Cropland Change",1.08893687707641,0.01,0.18,0.34,0.93,19.62
"Mammal Biodiversity","Urban/Built-up",0.773717391304348,0.01,0.14,0.34,0.775,13.8
"Cultivated/Managed
Veg.","Cropland",0.845207373271889,0.02,0.16,0.33,0.73,16.19
"Urban/Built-up","Cropland",0.632069970845481,0.04,0.155,0.33,0.705,6.23
"Urban/Built-up","Evergreen Broadleaf
Trees",0.483392156862745,0.03,0.18,0.33,0.6075,3.34
"Pasture Change","Cropland",0.623636363636364,0.02,0.155,0.33,0.635,7.31
"Cropland Change","Cropland",0.601282051282051,0.04,0.14,0.32,0.64,4.02
"Evergreen Broadleaf
Trees","Cropland Change",0.590651162790698,0.03,0.15,0.32,0.685,10.64
"Urban/Built-up","Cropland Change",0.786606741573034,0.02,0.15,0.32,0.81,16.61
"Population Change","Pasture Change",0.58530612244898,0.02,0.19,0.32,0.76,3.3
"Population Change","Cropland Change",0.484125,0.03,0.1775,0.31,0.6025,2.5
"Mammal Biodiversity","Cropland",0.443513513513514,0.01,0.1525,0.305,0.52,2.31
"Pasture Change","Population",0.366363636363636,0.04,0.105,0.305,0.47,1.26
"Mixed/Other Trees","Pasture Change",0.716622516556291,0.04,0.16,0.3,0.65,9
"Urban/Built-up","Pasture",0.6531640625,0.02,0.1275,0.3,0.725,7.32
"Livestock Mammal
Headcount","Urban/Built-up",0.645531496062992,0.01,0.14,0.3,0.755,9.1
"Pasture","Cropland",0.365,0.03,0.1625,0.295,0.485,1.65
"Mixed/Other Trees","Cropland Change",0.537676056338028,0.03,0.14,0.29,0.59,5.38
"Mixed/Other Trees","Deciduous Broadleaf
Trees",0.454550898203593,0.03,0.12,0.29,0.55,2.93
"Urban/Built-up","Mixed/Other Trees",0.489976133651551,0.01,0.13,0.29,0.555,16.56
"Global Envir. Strat.","Evergreen Broadleaf
Trees",0.413424657534247,0.03,0.14,0.29,0.51,2.98
"Global Envir. Strat.","Pasture Change",0.630218579234973,0.02,0.15,0.29,0.61,6.44
"Deciduous Broadleaf
Trees","Cropland Change",0.486,0.04,0.13,0.28,0.5,3.88
"Deciduous Broadleaf
Trees","Population Change",0.382083333333333,0.04,0.125,0.28,0.5325,1.14
"Urban/Built-up","Herbaceous Veg.",0.515306553911205,0.02,0.14,0.28,0.61,7.88
"Pasture Change","Pasture",0.666291390728477,0.03,0.18,0.28,0.59,9.85
"Mammal Biodiversity","Pasture Change",0.78963768115942,0.01,0.15,0.275,0.7325,15.04
"Mammal Biodiversity","Herbaceous Veg.",0.507717391304348,0.02,0.1675,0.27,0.495,3.79
"Mammal Biodiversity","Global Envir. Strat.",0.519424083769634,0.02,0.13,0.27,0.555,9.35
"Population","Cropland",0.361111111111111,0.06,0.18,0.27,0.4,0.93
"Population Change","Cropland",1.0315,0.08,0.165,0.27,0.55,11.35
"Cultivated/Managed
Veg.","Population Change",0.5092,0.03,0.14,0.265,0.565,3.62
"Shrubs","Cropland Change",0.381111111111111,0.03,0.17,0.26,0.505,2.18
"Global Envir. Strat.","Mixed/Other Trees",0.399692307692308,0.01,0.11,0.26,0.425,3.07
"Global Envir. Strat.","Pasture",0.523098591549296,0.02,0.115,0.26,0.515,6.71
"Livestock Mammal
Headcount","Pasture Change",0.516697247706422,0.02,0.13,0.26,0.58,6.26
"Mammal Biodiversity","Shrubs",0.382678571428571,0.05,0.1675,0.255,0.4425,2.83
"Poultry","Cropland",0.391428571428571,0.04,0.09,0.255,0.395,2.3
"Evergreen/Deciduous
Needleleaf Trees","Pasture Change",0.499814814814815,0.02,0.1275,0.25,0.4625,8.74
"Deciduous Broadleaf
Trees","Pasture Change",0.456811594202899,0.02,0.14,0.25,0.5175,5.07
"Shrubs","Mixed/Other Trees",0.382987012987013,0.03,0.12,0.25,0.48,3
"Shrubs","Pasture",0.394615384615385,0.04,0.12,0.25,0.41,2.2
"Herbaceous Veg.","Shrubs",0.542465753424658,0.02,0.13,0.25,0.56,5.48
"Regularly Flooded Veg.","Evergreen/Deciduous
Needleleaf Trees",0.26,0.1,0.25,0.25,0.28,0.42
"Regularly Flooded Veg.","Cultivated/Managed
Veg.",0.341282051282051,0.03,0.13,0.25,0.4,1.71
"Regularly Flooded Veg.","Pasture Change",0.459090909090909,0.03,0.1325,0.25,0.55,3.72
