region,gridid,lon,lat,pop,weight_pubs,weight_pop,bsm_response,bsm_weight_pubs,bsm_weight_pop,pubs_fit,bsm_weight_pop_2,bsm_over_pop
NA,203768,181.5,539.5,11124321.4219,3.056270897744733e-5,0.001819604704402448,6.302228859444117,1.593963757763584e-5,8.529771344538824e-4,4.114130465107341,5214754.4937856635,0.4687705699980574
Australia and New Zealand,36175089,122981.5,-24068.5,23003412.798049,0.01989312266068064,0.003762667092865461,535.0036527937366,0.012429399271017053,0.002234340303540465,2677.868053019008,13659845.812858682,0.5938182274422004
Caribbean,2559141,-8074,2219,38458526.20583,0.0021474571292015394,0.0062906592280539166,65.42378084127168,0.0013010903820010302,0.003755277759798526,289.0751210659834,22958237.42785394,0.5969609262971095
Central America,6967849,-29983,6402,135015164.744833,0.01130452844058931,0.022084423814986216,191.83746530826377,0.006328257763706646,0.012226370506606497,1521.7337208367235,74747045.33883597,0.553619628432861
Central Asia,6883968,32025.5,22192.5,55667211.888968,0.007586060904513006,0.009105483093532696,252.92699286385255,0.0037926317331667342,0.004446079051458473,1021.1805602849884,27181514.92790446,0.48828590485400675
Eastern Africa,19968345,23140.5,-3637.5,251642195.027015,0.01102658870078481,0.041161101386003346,414.3737001364325,0.007057656465321077,0.025896319756839266,1484.319486652264,158319542.6580211,0.629145452498635
Eastern Asia,23021586,144356,50354,1471183947.34349,0.1035850145361621,0.2406414854534434,643.0315187693043,0.04051451395554202,0.09841536722789174,13943.864215252734,601671437.3449156,0.40897090974337436
Eastern Europe,30153380,331520.5,223081.5,303065514.516865,0.06777509552002957,0.04957241120985593,1380.3564504154047,0.028103354300349086,0.02225181483149346,9123.392349162195,136038525.18474606,0.44887497477769206
Melanesia,6318918,25306,-1842,7781899.976732,6.633521223882734e-4,0.001272884994043292,115.46614447232034,4.631531427741029e-4,8.371521755154596e-4,89.29565693358742,5118007.1456976645,0.6576809212403891
Micronesia,2218996,10536.5,580.5,2428145.389825,0,3.971716212371055e-4,36.513614494255535,0,1.9959320554567838e-4,0,1220231.496844053,0.5025364222246992
Middle Africa,16915601,10623.5,217.5,99777168.977772,0.007201375457078962,0.01632054659140754,386.0521844158743,0.004944081875659522,0.011434351419540441,969.3969922792953,69904963.49793635,0.7006108132162934
Northern Africa,17366139,12481.5,19371.5,178840777.74480098,0.01617936200743218,0.029252977164323242,408.4830183734606,0.007929235905564965,0.014438241731534492,2177.9484989336365,88269524.36431809,0.493564865224839
Northern America,37005463,-378001.5,230127.5,318758195.7959208,0.3566678219004338,0.05213926230999082,1549.3197739084922,0.14806818216573184,0.023318302496712812,48012.038235447435,142558596.02853286,0.44723115486512366
Northern Europe,4133013,6245.5,34012.5,94270183.212326,0.07594346061278658,0.015419769202311624,218.57025604322723,0.031052117799285826,0.006530808447318357,10222.958480653651,39926700.638360545,0.4235347729030408
Polynesia,2884501,-11738,-1415,729839.090534,0,1.1937974391660908e-4,34.491590206840456,0,5.341836016861622e-5,0,326578.0786941054,0.44746586327016086
South America,62228427,-104630,-27455,347413041.682458,0.04849327541201174,0.056826334033433054,1158.8418767734177,0.030723471832450697,0.03592518001264064,6527.813417083475,219631906.11307713,0.6321924618875557
South-Eastern Asia,21189621,83174,3762,533379928.075372,0.01812752944916367,0.08724492843663456,470.4274011980886,0.010873940860901045,0.05129545924389674,2440.196686064959,313599527.8163841,0.5879477485175807
Southern Africa,10660461,5947.5,-6900.5,51331007.679854,0.012573534604245668,0.008396210385660335,168.9011259749624,0.006644396049181,0.005022957364756245,1692.5581370283694,30708313.77763341,0.5982410080308159
Southern Asia,14860912,49624.5,17933.5,1452877181.493819,0.04275547306858905,0.23764704866947228,341.9659544481578,0.017584118825935035,0.10225313990051786,5755.432034227039,625134015.0417002,0.4302731318272547
Southern Europe,4087949,1643.5,9984.5,133651509.922986,0.0537629418998684,0.021861370863268278,125.96832869236017,0.023556364745891126,0.010192946548925389,7237.177742564058,62315520.163336314,0.466253768470288
Western Africa,13915731,-1063,7923,237416616.89129,0.015527765421859267,0.038834224274411515,310.65134763498895,0.008741044925767476,0.022507436862515644,2090.2352872008805,137601294.08105066,0.5795773517573815
Western Asia,10187775,21665.5,14176.5,190285688.096694,0.02412643762415891,0.031125020584137686,249.54481055969478,0.011322546503625883,0.015046625817444523,3247.726244336163,91988936.6648345,0.4834254093670469
Western Europe,2100932,972,7767,184529512.543029,0.10475332234825625,0.030183483233715978,68.56087673635123,0.04127573982344685,0.011987376894137177,14101.133348885694,73285935.81518105,0.3971502162728147
