"","gridid","lon","lat","iso3","bsm_response"
"1",26820,-0.5,10.5,"GHA",0.594914128534402
"2",26460,-0.5,11.5,"BFA",0.497307121324181
"3",26100,-0.5,12.5,"BFA",0.46702313123102
"4",25740,-0.5,13.5,"BFA",0.519501245511244
"5",25380,-0.5,14.5,"BFA",0.595410812976419
"6",25020,-0.5,15.5,"MLI",0.65142379157983
"7",24660,-0.5,16.5,"MLI",0.598202817752282
"8",24300,-0.5,17.5,"MLI",0.492958000713748
"9",23940,-0.5,18.5,"MLI",0.462707477759972
"10",23580,-0.5,19.5,"MLI",0.474535180732397
"11",23220,-0.5,20.5,"MLI",0.447525735891452
"12",22860,-0.5,21.5,"MLI",0.444516814110028
"13",22500,-0.5,22.5,"DZA",0.436300322158227
"14",22140,-0.5,23.5,"DZA",0.438145338352304
"15",21780,-0.5,24.5,"DZA",0.439329920166085
"16",21420,-0.5,25.5,"DZA",0.437969432945146
"17",21060,-0.5,26.5,"DZA",0.439084049735318
"18",20700,-0.5,27.5,"DZA",0.506980673474785
"19",20340,-0.5,28.5,"DZA",0.477456787528003
"20",19980,-0.5,29.5,"DZA",0.44896825207386
"21",19620,-0.5,30.5,"DZA",0.428081119683687
"22",19260,-0.5,31.5,"DZA",0.453412467288781
"23",18900,-0.5,32.5,"DZA",0.585831409256347
"24",18540,-0.5,33.5,"DZA",0.551530757560977
"25",18180,-0.5,34.5,"DZA",0.579447993012406
"26",17820,-0.5,35.5,"DZA",0.396013702223567
"27",17100,-0.5,37.5,"ESP",0.607746904143543
"28",16740,-0.5,38.5,"ESP",0.437456449114747
"29",16380,-0.5,39.5,"ESP",0.420566831239812
"30",16020,-0.5,40.5,"ESP",0.542428502086605
"31",15660,-0.5,41.5,"ESP",0.479588506964018
"32",15300,-0.5,42.5,"ESP",0.536535400828115
"33",14940,-0.5,43.5,"FRA",0.453294290764112
"34",14580,-0.5,44.5,"FRA",0.347853438375606
"35",14220,-0.5,45.5,"FRA",0.343850866309229
"36",13860,-0.5,46.5,"FRA",0.407409576300624
"37",13500,-0.5,47.5,"FRA",0.362055211567284
"38",13140,-0.5,48.5,"FRA",0.416033477392875
"39",12780,-0.5,49.5,"FRA",0.397356638155945
"40",28620,-0.5,5.5,"GHA",0.548430480163139
"41",12420,-0.5,50.5,"GBR",0.440795902638243
"42",12060,-0.5,51.5,"GBR",0.456775710744306
"43",11700,-0.5,52.5,"GBR",0.365953284201094
"44",11340,-0.5,53.5,"GBR",0.402489356779249
"45",10980,-0.5,54.5,"GBR",0.510257531733912
"46",28260,-0.5,6.5,"GHA",0.669039258495796
"47",8820,-0.5,60.5,"GBR",0.450413579087417
"48",27900,-0.5,7.5,"GHA",0.673726349569944
"49",27540,-0.5,8.5,"GHA",0.688474159973959
"50",27180,-0.5,9.5,"GHA",0.611981652809609
"51",26819,-1.5,10.5,"GHA",0.645329264158287
"52",26459,-1.5,11.5,"BFA",0.606078579676154
"53",26099,-1.5,12.5,"BFA",0.442683925051153
"54",25739,-1.5,13.5,"BFA",0.494404253396136
"55",25379,-1.5,14.5,"BFA",0.614849926264464
"56",25019,-1.5,15.5,"MLI",0.658178759893363
"57",24659,-1.5,16.5,"MLI",0.596757273677068
"58",24299,-1.5,17.5,"MLI",0.477256447340079
"59",23939,-1.5,18.5,"MLI",0.472712042045841
"60",23579,-1.5,19.5,"MLI",0.458188784989097
"61",23219,-1.5,20.5,"MLI",0.44535326730402
"62",22859,-1.5,21.5,"MLI",0.443630400528595
"63",22499,-1.5,22.5,"MLI",0.436529552485899
"64",22139,-1.5,23.5,"DZA",0.438087335760712
"65",21779,-1.5,24.5,"DZA",0.446995148757727
"66",21419,-1.5,25.5,"DZA",0.437969432945146
"67",21059,-1.5,26.5,"DZA",0.437746577700909
"68",20699,-1.5,27.5,"DZA",0.435442100044227
"69",20339,-1.5,28.5,"DZA",0.436081566700059
"70",19979,-1.5,29.5,"DZA",0.493034220331575
"71",19619,-1.5,30.5,"DZA",0.469949970906717
"72",19259,-1.5,31.5,"DZA",0.51032182491893
"73",18899,-1.5,32.5,"MAR",0.557237835759731
"74",18539,-1.5,33.5,"DZA",0.538151236585396
"75",18179,-1.5,34.5,"DZA",0.530609933407402
"76",17819,-1.5,35.5,"DZA",0.498803549467652
"77",17459,-1.5,36.5,"ESP",0.410667721621376
"78",17099,-1.5,37.5,"ESP",0.49384230175423
"79",16739,-1.5,38.5,"ESP",0.488941847032584
"80",16379,-1.5,39.5,"ESP",0.516856511414084
"81",28979,-1.5,4.5,"GHA",0.580226482545319
"82",16019,-1.5,40.5,"ESP",0.575409951573966
"83",15659,-1.5,41.5,"ESP",0.506680177891373
"84",15299,-1.5,42.5,"ESP",0.454112011050735
"85",14939,-1.5,43.5,"FRA",0.485665688044608
"86",14579,-1.5,44.5,"FRA",0.466370049654041
"87",14219,-1.5,45.5,"FRA",0.47049843756166
"88",13859,-1.5,46.5,"FRA",0.388397448483653
"89",13499,-1.5,47.5,"FRA",0.342358522701546
"90",13139,-1.5,48.5,"FRA",0.355093585312206
"91",12779,-1.5,49.5,"FRA",0.436693164254504
"92",28619,-1.5,5.5,"GHA",0.646562108184522
"93",12419,-1.5,50.5,"GBR",0.465585193646748
"94",12059,-1.5,51.5,"GBR",0.424921564989979
"95",11699,-1.5,52.5,"GBR",0.356835578899039
"96",11339,-1.5,53.5,"GBR",0.400495569506317
"97",10979,-1.5,54.5,"GBR",0.364433649084775
"98",10619,-1.5,55.5,"GBR",0.46403132955259
"99",9899,-1.5,57.5,"GBR",0.569569149138589
"100",9179,-1.5,59.5,"GBR",0.417826373581593
"101",28259,-1.5,6.5,"GHA",0.563676035072703
"102",8819,-1.5,60.5,"GBR",0.548930147618293
"103",27899,-1.5,7.5,"GHA",0.669108503981619
"104",27539,-1.5,8.5,"GHA",0.713677782322429
"105",27179,-1.5,9.5,"GHA",0.707256848871544
"106",26810,-10.5,10.5,"GIN",0.767644366804475
"107",26450,-10.5,11.5,"GIN",0.729478621740738
"108",26090,-10.5,12.5,"MLI",0.736056427958092
"109",25730,-10.5,13.5,"MLI",0.73088249928188
"110",25370,-10.5,14.5,"MLI",0.695162352085077
"111",25010,-10.5,15.5,"MRT",0.622158012554582
"112",24650,-10.5,16.5,"MRT",0.600416223085175
"113",24290,-10.5,17.5,"MRT",0.613225622224929
"114",23930,-10.5,18.5,"MRT",0.485580818734854
"115",23570,-10.5,19.5,"MRT",0.440939648373635
"116",23210,-10.5,20.5,"MRT",0.437823255270463
"117",22850,-10.5,21.5,"MRT",0.435078728727683
"118",22490,-10.5,22.5,"MRT",0.434121186801223
"119",22130,-10.5,23.5,"MRT",0.434340355245199
"120",21770,-10.5,24.5,"MRT",0.436258836168107
"121",21410,-10.5,25.5,"MRT",0.429206036560413
"122",21050,-10.5,26.5,"MAR",0.421448015474014
"123",20690,-10.5,27.5,"MAR",0.469418545051767
"124",20330,-10.5,28.5,"MAR",0.577160899926489
"125",19970,-10.5,29.5,"MAR",0.644357069877824
"126",28610,-10.5,5.5,"LBR",0.572417348417481
"127",12050,-10.5,51.5,"IRL",0.579542286852295
"128",11690,-10.5,52.5,"IRL",0.56569688153892
"129",11330,-10.5,53.5,"IRL",0.47656314386073
"130",10970,-10.5,54.5,"IRL",0.395223656116999
"131",28250,-10.5,6.5,"LBR",0.694040916321855
"132",27890,-10.5,7.5,"LBR",0.726253236399772
"133",27530,-10.5,8.5,"SLE",0.717740326126531
"134",27170,-10.5,9.5,"GIN",0.768424514751844
"135",24560,-100.5,16.5,"MEX",0.474355954970731
"136",24200,-100.5,17.5,"MEX",0.643230081689687
"137",23840,-100.5,18.5,"MEX",0.52088118639082
"138",23480,-100.5,19.5,"MEX",0.52207540560274
"139",23120,-100.5,20.5,"MEX",0.417374953058487
"140",22760,-100.5,21.5,"MEX",0.520034205239718
"141",22400,-100.5,22.5,"MEX",0.53119470089667
"142",22040,-100.5,23.5,"MEX",0.588059367506673
"143",21680,-100.5,24.5,"MEX",0.61474211319598
"144",21320,-100.5,25.5,"MEX",0.516351350178773
"145",20960,-100.5,26.5,"MEX",0.693640508661411
"146",20600,-100.5,27.5,"MEX",0.697712429142501
"147",20240,-100.5,28.5,"MEX",0.620858515522111
"148",19880,-100.5,29.5,"USA",0.643232221911717
"149",19520,-100.5,30.5,"USA",0.621104694771797
"150",19160,-100.5,31.5,"USA",0.595406793928972
"151",18800,-100.5,32.5,"USA",0.567918072042181
"152",18440,-100.5,33.5,"USA",0.571719805113761
"153",18080,-100.5,34.5,"USA",0.570135746682673
"154",17720,-100.5,35.5,"USA",0.596316478749226
"155",17360,-100.5,36.5,"USA",0.592760434695702
"156",17000,-100.5,37.5,"USA",0.523841123512982
"157",16640,-100.5,38.5,"USA",0.560336181044144
"158",16280,-100.5,39.5,"USA",0.576994123291424
"159",15920,-100.5,40.5,"USA",0.599937939391111
"160",15560,-100.5,41.5,"USA",0.647764940606196
"161",15200,-100.5,42.5,"USA",0.650597356625277
"162",14840,-100.5,43.5,"USA",0.597220921646603
